0,1,2,Active
2,1,2,Active
4,1,2,Active
6,0,2,NULL
8,2,2,Passive
10,1,2,Active
12,0,2,NULL
14,1,2,Active
16,1,2,Active
18,2,2,Passive
20,2,2,Passive
22,2,2,Passive
24,1,2,Active
26,1,2,Active
28,0,2,NULL
30,2,2,Passive
32,1,2,Active
34,2,2,Passive
36,0,2,NULL
38,2,2,Passive
40,1,2,Active
42,0,4,NULL
46,1,2,Active
48,2,2,Passive
50,1,2,Active
52,0,2,NULL
54,2,2,Passive
56,2,2,Passive
58,1,2,Active
60,2,2,Passive
62,1,2,Active
64,1,2,Active
66,1,2,Active
68,1,2,Active
70,0,4,NULL
74,2,2,Passive
76,1,2,Active
78,1,2,Active
80,2,2,Passive
82,0,2,NULL
84,2,2,Passive
86,2,2,Passive
88,0,2,NULL
90,1,2,Active
92,0,2,NULL
94,2,2,Passive
96,0,2,NULL
98,1,2,Active
100,1,2,Active
102,2,2,Passive
104,0,4,NULL
108,1,2,Active
110,2,2,Passive
112,0,4,NULL
116,1,2,Active
118,2,2,Passive
120,0,2,NULL
122,2,2,Passive
124,0,2,NULL
126,1,2,Active
128,0,2,NULL
130,1,2,Active
132,1,2,Active
134,2,2,Passive
136,2,2,Passive
138,0,2,NULL
140,1,2,Active
142,0,2,NULL
144,2,2,Passive
146,0,2,NULL
148,1,2,Active
150,2,2,Passive
152,2,2,Passive
154,0,4,NULL
158,2,2,Passive
160,2,2,Passive
162,0,2,NULL
164,2,2,Passive
166,2,2,Passive
168,0,2,NULL
170,2,2,Passive
172,1,2,Active
174,1,2,Active
176,0,2,NULL
178,2,2,Passive
180,2,2,Passive
182,2,2,Passive
184,1,2,Active
186,0,4,NULL
190,1,2,Active
192,2,2,Passive
194,0,2,NULL
196,1,2,Active
198,0,2,NULL
200,2,2,Passive
202,1,2,Active
204,1,2,Active
206,0,2,NULL
208,1,2,Active
210,2,2,Passive
212,1,2,Active
214,1,2,Active
216,1,2,Active
218,2,2,Passive
220,0,10,NULL
230,2,2,Passive
232,1,2,Active
234,1,2,Active
236,1,2,Active
238,2,2,Passive
240,0,2,NULL
242,1,2,Active
244,0,4,NULL
248,2,2,Passive
250,1,2,Active
252,0,2,NULL
254,1,2,Active
256,0,2,NULL
258,2,2,Passive
260,2,2,Passive
262,2,2,Passive
264,2,2,Passive
266,0,4,NULL
270,2,2,Passive
272,0,4,NULL
276,2,2,Passive
278,1,2,Active
280,2,2,Passive
282,2,2,Passive
284,1,2,Active
286,0,4,NULL
290,2,2,Passive
292,2,2,Passive
294,2,2,Passive
296,1,2,Active
298,0,2,NULL
300,1,2,Active
302,0,2,NULL
304,1,2,Active
306,2,2,Passive
308,0,2,NULL
310,2,2,Passive
312,0,2,NULL
314,1,2,Active
316,0,2,NULL
318,2,2,Passive
320,2,2,Passive
322,1,2,Active
324,2,2,Passive
326,2,2,Passive
328,2,2,Passive
330,0,4,NULL
334,2,2,Passive
336,1,2,Active
338,0,2,NULL
340,1,2,Active
342,1,2,Active
344,0,2,NULL
346,1,2,Active
348,1,2,Active
350,0,2,NULL
352,2,2,Passive
354,1,2,Active
356,1,2,Active
358,0,2,NULL
