0,6,       Patient
6,6,          NULL 
12,6,         Agent
18,26,          NULL 
44,6,         Agent
50,2,          NULL 
52,6,         Agent
58,6,          NULL 
64,6,       Patient
70,10,          NULL 
80,6,         Agent
86,6,          NULL 
92,6,         Agent
98,2,          NULL 
100,6,         Agent
106,8,          NULL 
114,6,       Patient
120,4,          NULL 
124,6,         Agent
130,6,       Patient
136,4,          NULL 
140,6,         Agent
146,6,         Agent
152,10,          NULL 
162,6,         Agent
168,6,          NULL 
174,6,         Agent
180,2,          NULL 
182,6,         Agent
188,6,          NULL 
194,6,       Patient
200,8,          NULL 
208,6,       Patient
214,10,          NULL 
224,6,         Agent
230,2,          NULL 
232,6,         Agent
238,4,          NULL 
242,6,       Patient
248,8,          NULL 
256,6,         Agent
262,6,          NULL 
268,6,       Patient
274,6,       Patient
280,2,          NULL 
282,6,         Agent
288,26,          NULL 
314,6,         Agent
320,6,       Patient
326,6,          NULL 
332,6,       Patient
338,2,          NULL 
340,6,       Patient
346,6,          NULL 
352,6,         Agent
358,6,         Agent
364,2,          NULL 
366,6,         Agent
372,6,          NULL 
378,6,       Patient
384,6,         Agent
390,4,          NULL 
394,6,         Agent
400,4,          NULL 
404,6,         Agent
410,6,          NULL 
416,6,         Agent
422,6,         Agent
428,6,         Agent
434,2,          NULL 
436,6,         Agent
442,8,          NULL 
450,6,       Patient
456,2,          NULL 
458,6,         Agent
464,2,          NULL 
466,6,       Patient
472,4,          NULL 
476,6,         Agent
482,6,          NULL 
488,6,         Agent
494,4,          NULL 
498,6,       Patient
504,10,          NULL 
514,6,       Patient
520,2,          NULL 
522,6,       Patient
528,14,          NULL 
542,6,         Agent
548,6,          NULL 
554,6,         Agent
560,6,         Agent
566,6,          NULL 
572,6,         Agent
578,8,          NULL 
586,6,       Patient
592,28,          NULL 
620,6,       Patient
626,6,          NULL 
632,6,       Patient
638,12,          NULL 
650,6,       Patient
656,4,          NULL 
660,6,       Patient
666,6,       Patient
672,6,          NULL 
678,6,       Patient
684,4,          NULL 
688,6,       Patient
694,2,          NULL 
696,6,         Agent
702,2,          NULL 
704,6,         Agent
710,6,       Patient
716,6,          NULL 
722,6,         Agent
728,6,       Patient
734,20,          NULL 
754,6,       Patient
760,6,         Agent
766,10,          NULL 
776,6,         Agent
782,6,          NULL 
788,6,         Agent
794,18,          NULL 
812,6,         Agent
818,6,       Patient
824,4,          NULL 
828,6,         Agent
834,10,          NULL 
844,6,         Agent
850,8,          NULL 
858,6,       Patient
864,8,          NULL 
872,6,       Patient
878,4,          NULL 
882,6,         Agent
888,2,          NULL 
890,6,       Patient
896,8,          NULL 
904,6,       Patient
910,6,       Patient
916,10,          NULL 
926,6,         Agent
932,10,          NULL 
942,6,       Patient
948,2,          NULL 
950,6,       Patient
956,14,          NULL 
970,6,       Patient
976,6,         Agent
982,18,          NULL 
1000,6,         Agent
1006,6,         Agent
1012,10,          NULL 
1022,6,         Agent
1028,6,         Agent
1034,2,          NULL 
1036,6,       Patient
1042,12,          NULL 
1054,6,         Agent
1060,14,          NULL 
1074,6,       Patient
1080,2,          NULL 
1082,6,         Agent
1088,10,          NULL 
1098,6,         Agent
1104,6,       Patient
1110,2,          NULL 
1112,6,       Patient
1118,10,          NULL 
1128,6,       Patient
1134,6,       Patient
1140,6,          NULL 
1146,6,       Patient
1152,10,          NULL 
1162,6,         Agent
1168,4,          NULL 
1172,6,         Agent
1178,16,          NULL 
1194,6,       Patient
1200,6,         Agent
1206,8,          NULL 
1214,6,         Agent
1220,4,          NULL 
1224,6,         Agent
1230,2,          NULL 
1232,6,       Patient
1238,6,          NULL 
1244,6,       Patient
1250,4,          NULL 
1254,6,       Patient
1260,2,          NULL 
1262,6,       Patient
1268,10,          NULL 
1278,6,       Patient
1284,6,          NULL 
1290,6,       Patient
1296,6,       Patient
1302,2,          NULL 
1304,6,         Agent
1310,8,          NULL 
1318,6,         Agent
1324,12,          NULL 
1336,6,       Patient
1342,10,          NULL 
1352,6,       Patient
1358,20,          NULL 
1378,6,       Patient
1384,8,          NULL 
1392,6,       Patient
1398,6,       Patient
1404,4,          NULL 
1408,6,       Patient
1414,6,       Patient
1420,20,          NULL 
