0,6,         Agent
6,4,          NULL 
10,6,         Agent
16,6,          NULL 
22,6,         Agent
28,8,          NULL 
36,6,       Patient
42,8,          NULL 
50,6,         Agent
56,4,          NULL 
60,6,         Agent
66,6,       Patient
72,6,         Agent
78,6,       Patient
84,4,          NULL 
88,6,         Agent
94,6,       Patient
100,6,          NULL 
106,6,       Patient
112,6,          NULL 
118,6,       Patient
124,6,          NULL 
130,6,         Agent
136,2,          NULL 
138,6,         Agent
144,2,          NULL 
146,6,         Agent
152,4,          NULL 
156,6,       Patient
162,14,          NULL 
176,6,       Patient
182,2,          NULL 
184,6,         Agent
190,12,          NULL 
202,6,       Patient
208,4,          NULL 
212,6,       Patient
218,6,         Agent
224,6,          NULL 
230,6,       Patient
236,2,          NULL 
238,6,       Patient
244,6,         Agent
250,12,          NULL 
262,6,       Patient
268,8,          NULL 
276,6,         Agent
282,16,          NULL 
298,6,       Patient
304,10,          NULL 
314,6,         Agent
320,6,          NULL 
326,6,         Agent
332,6,         Agent
338,12,          NULL 
350,6,         Agent
356,14,          NULL 
370,6,         Agent
376,8,          NULL 
384,6,       Patient
390,2,          NULL 
392,6,         Agent
398,20,          NULL 
418,6,       Patient
424,6,          NULL 
430,6,         Agent
436,14,          NULL 
450,6,         Agent
456,6,          NULL 
462,6,         Agent
468,6,         Agent
474,6,       Patient
480,6,          NULL 
486,6,       Patient
492,4,          NULL 
496,6,       Patient
502,6,         Agent
508,4,          NULL 
512,6,       Patient
518,2,          NULL 
520,6,         Agent
526,6,         Agent
532,4,          NULL 
536,6,         Agent
542,6,         Agent
548,10,          NULL 
558,6,       Patient
564,10,          NULL 
574,6,       Patient
580,6,          NULL 
586,6,         Agent
592,12,          NULL 
604,6,       Patient
610,6,       Patient
616,6,          NULL 
622,6,         Agent
628,8,          NULL 
636,6,       Patient
642,2,          NULL 
644,6,         Agent
650,4,          NULL 
654,6,         Agent
660,20,          NULL 
680,6,         Agent
686,6,          NULL 
692,6,         Agent
698,2,          NULL 
700,6,         Agent
706,6,          NULL 
712,6,         Agent
718,6,          NULL 
724,6,         Agent
730,8,          NULL 
738,6,         Agent
744,6,          NULL 
750,6,       Patient
756,4,          NULL 
760,6,       Patient
766,6,          NULL 
772,6,       Patient
778,4,          NULL 
782,6,       Patient
788,6,          NULL 
794,6,         Agent
800,16,          NULL 
816,6,         Agent
822,2,          NULL 
824,6,       Patient
830,10,          NULL 
840,6,         Agent
846,30,          NULL 
876,6,       Patient
882,6,       Patient
888,6,       Patient
894,2,          NULL 
896,6,       Patient
902,6,          NULL 
908,6,       Patient
914,6,          NULL 
920,6,       Patient
926,6,         Agent
932,6,         Agent
938,6,          NULL 
944,6,         Agent
950,4,          NULL 
954,6,         Agent
960,6,          NULL 
966,6,         Agent
972,2,          NULL 
974,6,       Patient
980,2,          NULL 
982,6,         Agent
988,2,          NULL 
990,6,       Patient
996,2,          NULL 
998,6,         Agent
1004,6,       Patient
1010,6,          NULL 
1016,6,       Patient
1022,16,          NULL 
1038,6,       Patient
1044,2,          NULL 
1046,6,         Agent
1052,2,          NULL 
1054,6,         Agent
1060,16,          NULL 
1076,6,         Agent
1082,2,          NULL 
1084,6,         Agent
1090,12,          NULL 
1102,6,       Patient
1108,8,          NULL 
1116,6,       Patient
1122,8,          NULL 
1130,6,       Patient
1136,14,          NULL 
1150,6,         Agent
1156,2,          NULL 
1158,6,       Patient
1164,22,          NULL 
1186,6,         Agent
1192,20,          NULL 
1212,6,       Patient
1218,10,          NULL 
1228,6,       Patient
1234,6,       Patient
1240,6,          NULL 
1246,6,       Patient
1252,2,          NULL 
1254,6,       Patient
1260,8,          NULL 
1268,6,       Patient
1274,6,          NULL 
1280,6,         Agent
1286,2,          NULL 
1288,6,       Patient
1294,6,       Patient
1300,6,         Agent
1306,12,          NULL 
1318,6,       Patient
1324,6,       Patient
1330,16,          NULL 
1346,6,         Agent
1352,8,          NULL 
1360,6,       Patient
1366,2,          NULL 
1368,6,       Patient
1374,6,          NULL 
1380,6,       Patient
1386,22,          NULL 
1408,6,         Agent
1414,6,         Agent
1420,4,          NULL 
1424,6,       Patient
1430,2,          NULL 
1432,6,       Patient
1438,2,          NULL 
