SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence
debug,1,C,0,6,Patient,1,Lily Triangle is being shaken by Melissa Oval. (Patient highlight)
debug,1,C,0.230000000001382,0.008,NULL ,N/A,N/A
debug,1,C,0.238000000001193,6,Agent,1,Lily Triangle is being shaken by Melissa Oval. (Patient highlight)
debug,1,C,0.468000000002576,0.002,NULL ,N/A,N/A
debug,1,C,0.470000000002983,6,Patient,1,Lily Triangle is being stopped by Kyle Square. (Agent highlight)
debug,1,C,0.700000000004366,0.004,NULL ,N/A,N/A
debug,1,C,0.70400000000518,6,Patient,0,Lily Triangle is being stopped by Kyle Square. (Agent highlight)
debug,1,C,0.934000000006563,0.024,NULL ,N/A,N/A
debug,1,C,0.958000000005995,6,Patient,0,Zach Star is being balanced by Melissa Oval. (Patient highlight)
debug,1,C,1.18800000000738,6,Patient,1,Zach Star is being balanced by Melissa Oval. (Patient highlight)
debug,1,C,1.41800000000876,0.004,NULL ,N/A,N/A
debug,1,C,1.42200000000958,6,Agent,1,Melissa Oval is rolling Lily Triangle. (Patient highlight)
debug,1,C,1.65200000001096,0.006,NULL ,N/A,N/A
debug,1,C,1.65800000001036,6,Agent,0,Melissa Oval is rolling Lily Triangle. (Patient highlight)
debug,1,C,1.88800000001174,0.012,NULL ,N/A,N/A
debug,1,C,1.90000000001237,6,Agent,1,Lily Triangle is shaking Melissa Oval. (Patient highlight)
debug,1,C,2.13000000001375,0.004,NULL ,N/A,N/A
debug,1,C,2.13400000001457,6,Patient,0,Melissa Oval is being shaken by Zach Star. (Patient highlight)
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,Agent,0,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,Patient,1,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,1,
debug,1,C,,,Patient,1,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,Agent,0,
debug,1,C,,,NULL ,N/A,
debug,1,C,,,Patient,0,
debug,1,C,,,NULL ,N/A,
