Onset,Duration,Condition
0,6,ActPas_SYNT_SAME
6,6,NULL
12,6,DOPP_SEM_DIFF
18,6,DOPP_SYNT_SAME
24,4,NULL
28,6,DOPP_SEM_SAME
34,2,NULL
36,6,DOPP_SYNT_DIFF
42,2,NULL
44,6,ActPas_SEM_SAME
50,6,NULL
56,6,DOPP_SYNT_DIFF
62,6,DOPP_SYNT_SAME
68,2,NULL
70,6,DOPP_SEM_SAME
76,2,NULL
78,6,ActPas_SYNT_DIFF
84,6,ActPas_SYNT_DIFF
90,8,NULL
98,6,ActPas_SYNT_DIFF
104,6,ActPas_SEM_DIFF
110,4,NULL
114,6,DOPP_SEM_SAME
120,4,NULL
124,6,DOPP_SEM_DIFF
130,6,ActPas_SYNT_SAME
136,6,ActPas_SEM_SAME
142,6,ActPas_SEM_DIFF
148,8,NULL
156,6,ActPas_SEM_SAME
162,4,NULL
166,6,DOPP_SYNT_DIFF
172,4,NULL
176,6,DOPP_SYNT_DIFF
182,4,NULL
186,6,DOPP_SEM_SAME
192,4,NULL
196,6,DOPP_SYNT_SAME
202,6,NULL
208,6,ActPas_SEM_DIFF
214,6,ActPas_SYNT_SAME
220,2,NULL
222,6,ActPas_SYNT_SAME
228,6,DOPP_SEM_DIFF
234,6,NULL
240,6,DOPP_SYNT_DIFF
246,8,NULL
254,6,ActPas_SYNT_DIFF
260,8,NULL
268,6,ActPas_SEM_DIFF
274,6,ActPas_SEM_SAME
280,6,NULL
286,6,DOPP_SEM_DIFF
292,6,NULL
298,6,ActPas_SYNT_DIFF
304,6,ActPas_SEM_SAME
310,6,DOPP_SYNT_SAME
316,2,NULL
318,6,DOPP_SYNT_SAME
324,2,NULL
326,6,ActPas_SYNT_SAME
332,6,DOPP_SEM_DIFF
338,6,DOPP_SEM_SAME
344,6,ActPas_SEM_DIFF
350,10,NULL
