Onset,Duration,Condition
0,6,ActPas_SEM_DIFF
6,6,ActPas_SYNT_DIFF
12,6,ActPas_SEM_SAME
18,6,DOPP_SEM_DIFF
24,2,NULL
26,6,ActPas_SYNT_DIFF
32,2,NULL
34,6,DOPP_SYNT_DIFF
40,6,NULL
46,6,ActPas_SEM_DIFF
52,2,NULL
54,6,DOPP_SEM_SAME
60,6,DOPP_SYNT_SAME
66,6,NULL
72,6,DOPP_SYNT_DIFF
78,2,NULL
80,6,ActPas_SEM_DIFF
86,6,NULL
92,6,ActPas_SYNT_SAME
98,2,NULL
100,6,DOPP_SYNT_DIFF
106,4,NULL
110,6,DOPP_SYNT_SAME
116,12,NULL
128,6,DOPP_SEM_SAME
134,6,DOPP_SEM_SAME
140,8,NULL
148,6,DOPP_SYNT_DIFF
154,6,ActPas_SEM_SAME
160,6,NULL
166,6,DOPP_SYNT_DIFF
172,6,ActPas_SYNT_SAME
178,4,NULL
182,6,ActPas_SEM_DIFF
188,8,NULL
196,6,ActPas_SYNT_DIFF
202,2,NULL
204,6,DOPP_SEM_DIFF
210,2,NULL
212,6,ActPas_SEM_SAME
218,6,ActPas_SYNT_SAME
224,4,NULL
228,6,DOPP_SYNT_SAME
234,2,NULL
236,6,DOPP_SEM_DIFF
242,6,DOPP_SEM_DIFF
248,6,DOPP_SYNT_SAME
254,6,ActPas_SEM_DIFF
260,6,NULL
266,6,ActPas_SYNT_DIFF
272,2,NULL
274,6,ActPas_SEM_SAME
280,4,NULL
284,6,DOPP_SYNT_SAME
290,6,NULL
296,6,ActPas_SYNT_SAME
302,2,NULL
304,6,ActPas_SYNT_DIFF
310,6,ActPas_SYNT_SAME
316,6,DOPP_SEM_SAME
322,2,NULL
324,6,ActPas_SEM_SAME
330,4,NULL
334,6,DOPP_SEM_SAME
340,4,NULL
344,6,DOPP_SEM_DIFF
350,10,NULL
