AgentName,AgentShape,PatientName,PatientShape,VerbStem,Verb,ProgressiveSentence,PastSentence,ShapeProgressiveSentence,ShapePastSentence
Kyle,Square,Lily,Triangle,stopp,,Kyle Square is stopping Lily Triangle.,,The Square is stopping the Triangle.,
Lily,Triangle,Zach,Star,bounc,,Lily Triangle is bouncing Zach Star.,,,
Zach,Star,Melissa,Heart,roll,,Zach Star is rolling Melissa Heart.,,,
,,,,shak,,  is shaking  .,,,
,,,,balanc,,  is balancing  .,,,
,,,,,,  is ing  .,,,
,,,,,,  is ing  .,,,
,,,,,,Star is stopping Heart.,,,
,,,,,,Heart is stopping Square.,,,
,,,,,,Heart is stopping Triangle.,,,
,,,,,,Heart is stopping Star.,,,
1,3,,,,,,,,
2,4,,,,,,,,
3,5,,,,,,,,
4,6,,,,,,,,
5,7,,,,,,,,
