COND_markingSameDiff,ItemNum_withinconstr,Item,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,Verb,ProgressiveSentence,PastSentence,GenericProgressiveSentence,GenericPastSentence
ActPas_SEM_DIFF,4,4,Kyle,Square,square,Lily,Triangle,triangle,stopp,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.
ActPas_SEM_DIFF,8,8,Kyle,Square,square,Zach,Star,star,stopp,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.
ActPas_SEM_DIFF,12,12,Kyle,Square,square,Melissa,Oval,oval,stopp,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.
ActPas_SEM_DIFF,16,16,Kyle,Square,square,Lily,Triangle,triangle,bounc,bounce,Kyle Square is bouncing Lily Triangle.,Kyle Square bounced Lily Triangle.,The square is bouncing the triangle.,The square bounced the triangle.
ActPas_SEM_DIFF,20,20,Kyle,Square,square,Zach,Star,star,bounc,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.
ActPas_SEM_DIFF,24,24,Kyle,Square,square,Melissa,Oval,oval,bounc,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.
ActPas_SEM_DIFF,28,28,Kyle,Square,square,Lily,Triangle,triangle,roll,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.
ActPas_SEM_DIFF,32,32,Kyle,Square,square,Zach,Star,star,roll,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.
ActPas_SEM_DIFF,36,36,Kyle,Square,square,Melissa,Oval,oval,roll,roll,Kyle Square is rolling Melissa Oval.,Kyle Square rolled Melissa Oval.,The square is rolling the oval.,The square rolled the oval.
ActPas_SEM_DIFF,40,40,Kyle,Square,square,Lily,Triangle,triangle,shak,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.
ActPas_SEM_DIFF,1,1,Kyle,Square,square,Zach,Star,star,shak,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.
ActPas_SEM_DIFF,5,5,Kyle,Square,square,Melissa,Oval,oval,shak,shake,Kyle Square is shaking Melissa Oval.,Kyle Square shook Melissa Oval.,The square is shaking the oval.,The square shook the oval.
ActPas_SEM_DIFF,9,9,Kyle,Square,square,Lily,Triangle,triangle,balanc,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.
ActPas_SEM_DIFF,13,13,Kyle,Square,square,Zach,Star,star,balanc,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.
ActPas_SEM_DIFF,17,17,Kyle,Square,square,Melissa,Oval,oval,balanc,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.
ActPas_SEM_DIFF,21,21,Lily,Triangle,triangle,Kyle,Square,square,stopp,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.
ActPas_SEM_DIFF,25,25,Lily,Triangle,triangle,Zach,Star,star,stopp,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.
ActPas_SEM_DIFF,29,29,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.
ActPas_SEM_DIFF,33,33,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.
ActPas_SEM_DIFF,37,37,Lily,Triangle,triangle,Zach,Star,star,bounc,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.
ActPas_SEM_DIFF,2,2,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.
ActPas_SEM_DIFF,6,6,Lily,Triangle,triangle,Kyle,Square,square,roll,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.
